Matrícula,Nombre,Apellidos,Nivel,Grado,Grupo
ALU-001,Mateo,García López,Primaria,1,A
ALU-002,Sofía,Martínez Pérez,Primaria,1,A
ALU-003,Santiago,Rodríguez Sánchez,Primaria,2,A
ALU-004,Valentina,Hernández Gómez,Primaria,2,A
ALU-005,Joaquín,Díaz Flores,Primaria,3,A
ALU-006,Isabella,Cruz Romero,Primaria,3,A
ALU-007,Nicolás,Álvarez Torres,Primaria,4,A
ALU-008,Camila,Ruiz Ramírez,Primaria,4,A
ALU-009,Sebastián,Mendoza Castro,Primaria,5,A
ALU-010,Valeria,Gómez Ortiz,Primaria,5,A
ALU-011,Diego,Silva Vargas,Primaria,6,A
ALU-012,Victoria,Ramos Morales,Primaria,6,A
ALU-013,Leonardo,Blanco Ramos,Secundaria,1,A
ALU-014,Renata,Cortés Medina,Secundaria,1,A
ALU-015,Emiliano,Molina Aguilar,Secundaria,2,A
ALU-016,Regina,Delgado Ríos,Secundaria,2,A
ALU-017,Gabriel,Vega Guerrero,Secundaria,3,A
ALU-018,Julieta,Salazar Campos,Secundaria,3,A
ALU-019,Tomás,Ríos Cabrera,Preparatoria,1,A
ALU-020,Lucía,Lara Peña,Preparatoria,1,A
ALU-021,Daniel,Soto Miranda,Preparatoria,2,A
ALU-022,Mía,Navarro Estrada,Preparatoria,2,A
ALU-023,Alejandro,Pacheco Valdés,Preparatoria,3,A
ALU-024,Emma,Mora Cárdenas,Preparatoria,3,A
ALU-025,Carlos,Cervantes Salas,Primaria,1,B
ALU-026,Samantha,Arias Montes,Primaria,1,B
ALU-027,Gael,Paredes Ríos,Primaria,2,B
ALU-028,Andrea,Gallegos Franco,Primaria,2,B
ALU-029,Dylan,León Bautista,Primaria,3,B
ALU-030,Natalia,Villanueva Suárez,Primaria,3,B
ALU-031,Emmanuel,Márquez Rivas,Primaria,4,B
ALU-032,Ximena,Espinoza Rosas,Primaria,4,B
ALU-033,Samuel,Trujillo Ávila,Primaria,5,B
ALU-034,Zoe,Castañeda De la Cruz,Primaria,5,B
ALU-035,Ian,Orozco Macías,Primaria,6,B
ALU-036,Paula,Esquivel Ponce,Primaria,6,B
ALU-037,Fernando,Lozano Rocha,Secundaria,1,B
ALU-038,Alondra,Velasco Tapia,Secundaria,1,B
ALU-039,Andrés,Carrillo Tovar,Secundaria,2,B
ALU-040,Miranda,Zavala Corona,Secundaria,2,B
ALU-041,Maximiliano,Escobar Villegas,Secundaria,3,B
ALU-042,Romina,Salgado Nava,Secundaria,3,B
ALU-043,David,Pineda Peralta,Preparatoria,1,B
ALU-044,Sara,Ayala Esparza,Preparatoria,1,B
ALU-045,Ángel,Mejía Padrón,Preparatoria,2,B
ALU-046,Carolina,Trejo Serna,Preparatoria,2,B
ALU-047,Luis,Guzmán Pardo,Preparatoria,3,B
ALU-048,Melissa,Pérez Becerra,Preparatoria,3,B
ALU-049,Benjamín,Jiménez Galván,Primaria,1,C
ALU-050,Daniela,Reyes Huerta,Primaria,1,C
